cve,cvss_v3_base,cvss_v3_severity,cvss_v2_base,last_fetched
CVE-2021-40450,NA,NA,NA,2026-04-20
CVE-2019-1003029,NA,NA,NA,2026-04-20
CVE-2018-6882,6.1,MEDIUM,4.3,2026-04-20
CVE-2019-3568,9.8,CRITICAL,7.5,2026-04-20
CVE-2022-22718,NA,NA,NA,2026-04-20
CVE-2022-22960,NA,NA,NA,2026-04-20
CVE-2022-1364,NA,NA,NA,2026-04-20
CVE-2019-3929,NA,NA,NA,2026-04-20
CVE-2019-16057,NA,NA,NA,2026-04-20
CVE-2018-7841,NA,NA,NA,2026-04-20
CVE-2016-4523,7.5,HIGH,5,2026-04-20
CVE-2014-0780,NA,NA,NA,2026-04-20
CVE-2010-5330,NA,NA,NA,2026-04-20
CVE-2007-3010,NA,NA,NA,2026-04-20
CVE-2022-22954,NA,NA,NA,2026-04-20
CVE-2022-24521,NA,NA,NA,2026-04-20
CVE-2018-7602,NA,NA,NA,2026-04-20
CVE-2018-20753,9.8,CRITICAL,7.5,2026-04-20
CVE-2015-5123,NA,NA,NA,2026-04-20
CVE-2015-5122,NA,NA,NA,2026-04-20
CVE-2015-3113,NA,NA,NA,2026-04-20
CVE-2015-2502,NA,NA,NA,2026-04-20
CVE-2015-0313,NA,NA,NA,2026-04-20
CVE-2015-0311,NA,NA,NA,2026-04-20
CVE-2014-9163,NA,NA,NA,2026-04-20
CVE-2022-23176,8.8,HIGH,9,2026-04-20
CVE-2021-42287,NA,NA,NA,2026-04-20
CVE-2021-42278,NA,NA,NA,2026-04-20
CVE-2021-39793,NA,NA,NA,2026-04-20
CVE-2021-27852,NA,NA,NA,2026-04-20
CVE-2021-22600,NA,NA,NA,2026-04-20
CVE-2020-2509,NA,NA,NA,2026-04-20
CVE-2017-11317,9.8,CRITICAL,7.5,2026-04-20
CVE-2021-3156,NA,NA,NA,2026-04-20
CVE-2021-31166,NA,NA,NA,2026-04-20
CVE-2017-0148,NA,NA,NA,2026-04-20
CVE-2022-22965,NA,NA,NA,2026-04-20
CVE-2022-22675,NA,NA,NA,2026-04-20
CVE-2022-22674,NA,NA,NA,2026-04-20
CVE-2021-45382,9.8,CRITICAL,10,2026-04-20
CVE-2022-26871,NA,NA,NA,2026-04-20
CVE-2022-1040,NA,NA,NA,2026-04-20
CVE-2021-34484,NA,NA,NA,2026-04-20
CVE-2021-28799,NA,NA,NA,2026-04-20
CVE-2021-21551,NA,NA,NA,2026-04-20
CVE-2018-10562,NA,NA,NA,2026-04-20
CVE-2018-10561,NA,NA,NA,2026-04-20
CVE-2022-1096,8.8,HIGH,NA,2026-04-20
