year,geo,geo_label,value
2010,irion,Irion Co. (Mertzon),199641
2010,kimble,Kimble Co. (Junction),116500
2010,loving,Loving Co. (Mentone),304756
2010,martin,Martin Co. (Stanton),781011
2010,mason,Mason Co. (Mason),99138
2010,mcculloch,McCulloch Co. (Brady),268872
2010,menard,Menard Co. (Menard),45052
2010,midland,Midland Co. (Midland),9957386
2010,pecos,Pecos Co. (Fort Stockton),1981309
2010,reagan,Reagan Co. (Big Lake),583456
2010,reeves,Reeves Co. (Pecos),358158
2010,schleicher,Schleicher Co. (Eldorado),150937
2010,sterling,Sterling Co. (Sterling City),239457
2010,sutton,Sutton Co. (Sonora),542911
2010,terrell,Terrell Co. (Sanderson),191776
2010,tom_green,Tom Green Co. (San Angelo),4968855
2010,TX,Texas,1323059067
2010,upton,Upton Co. (Rankin),1123457
2010,US,United States,16789750000
2010,ward,Ward Co. (Monahans),993119
2010,winkler,Winkler Co. (Kermit),489584
2011,andrews,Andrews Co. (Andrews),2227113
2011,borden,Borden Co. (Gail),237382
2011,coke,Coke Co. (Robert Lee),115887
2011,concho,Concho Co. (Paint Rock),104658
2011,crane,Crane Co. (Crane),705653
2011,crockett,Crockett Co. (Ozona),525917
2011,dawson,Dawson Co. (Lamesa),558620
2011,ector,Ector Co. (Odessa),10164506
2011,gaines,Gaines Co. (Seminole),1933459
2011,glasscock,Glasscock Co. (Garden City),549077
2011,howard,Howard Co. (Big Spring),1667908
2011,irion,Irion Co. (Mertzon),266966
2011,kimble,Kimble Co. (Junction),133348
2011,loving,Loving Co. (Mentone),259436
2011,martin,Martin Co. (Stanton),1023402
2011,mason,Mason Co. (Mason),103109
2011,mcculloch,McCulloch Co. (Brady),326547
2011,menard,Menard Co. (Menard),51330
2011,midland,Midland Co. (Midland),11438528
2011,pecos,Pecos Co. (Fort Stockton),1621867
2011,reagan,Reagan Co. (Big Lake),664593
2011,reeves,Reeves Co. (Pecos),469338
2011,schleicher,Schleicher Co. (Eldorado),161093
2011,sterling,Sterling Co. (Sterling City),242935
2011,sutton,Sutton Co. (Sonora),553347
2011,terrell,Terrell Co. (Sanderson),138761
2011,tom_green,Tom Green Co. (San Angelo),5041278
2011,TX,Texas,1370174901
2011,upton,Upton Co. (Rankin),1248959
2011,US,United States,17052410000
2011,ward,Ward Co. (Monahans),1236839
2011,winkler,Winkler Co. (Kermit),479076
2012,andrews,Andrews Co. (Andrews),2967163
2012,borden,Borden Co. (Gail),278258
2012,coke,Coke Co. (Robert Lee),130781
2012,concho,Concho Co. (Paint Rock),101674
2012,crane,Crane Co. (Crane),842670
2012,crockett,Crockett Co. (Ozona),609714
2012,dawson,Dawson Co. (Lamesa),657877
2012,ector,Ector Co. (Odessa),12055281
2012,gaines,Gaines Co. (Seminole),2302834
2012,glasscock,Glasscock Co. (Garden City),1055241
2012,howard,Howard Co. (Big Spring),1987017
2012,irion,Irion Co. (Mertzon),510179
2012,kimble,Kimble Co. (Junction),137931
2012,loving,Loving Co. (Mentone),365771
2012,martin,Martin Co. (Stanton),1582277
2012,mason,Mason Co. (Mason),109592
2012,mcculloch,McCulloch Co. (Brady),351484
2012,menard,Menard Co. (Menard),60653
2012,midland,Midland Co. (Midland),13996317
2012,pecos,Pecos Co. (Fort Stockton),1543277
2012,reagan,Reagan Co. (Big Lake),904038
2012,reeves,Reeves Co. (Pecos),785508
2012,schleicher,Schleicher Co. (Eldorado),160214
2012,sterling,Sterling Co. (Sterling City),278047
2012,sutton,Sutton Co. (Sonora),455990
2012,terrell,Terrell Co. (Sanderson),107273
2012,tom_green,Tom Green Co. (San Angelo),4977942
2012,TX,Texas,1438354410
2012,upton,Upton Co. (Rankin),1708872
2012,US,United States,17442759000
2012,ward,Ward Co. (Monahans),1865451
2012,winkler,Winkler Co. (Kermit),563211
2013,andrews,Andrews Co. (Andrews),2830637
2013,borden,Borden Co. (Gail),260148
2013,coke,Coke Co. (Robert Lee),132341
2013,concho,Concho Co. (Paint Rock),124276
2013,crane,Crane Co. (Crane),862162
2013,crockett,Crockett Co. (Ozona),735556
2013,dawson,Dawson Co. (Lamesa),746363
2013,ector,Ector Co. (Odessa),12536881
2013,gaines,Gaines Co. (Seminole),2138040
2013,glasscock,Glasscock Co. (Garden City),1217328
2013,howard,Howard Co. (Big Spring),2098601
2013,irion,Irion Co. (Mertzon),804142
2013,kimble,Kimble Co. (Junction),157765
2013,loving,Loving Co. (Mentone),443518
2013,martin,Martin Co. (Stanton),1731435
2013,mason,Mason Co. (Mason),108602
2013,mcculloch,McCulloch Co. (Brady),367775
2013,menard,Menard Co. (Menard),69356
2013,midland,Midland Co. (Midland),14591419
2013,pecos,Pecos Co. (Fort Stockton),1424625
2013,reagan,Reagan Co. (Big Lake),1094823
2013,reeves,Reeves Co. (Pecos),947697
2013,schleicher,Schleicher Co. (Eldorado),185786
2013,sterling,Sterling Co. (Sterling City),279803
2013,sutton,Sutton Co. (Sonora),446820
2013,terrell,Terrell Co. (Sanderson),107517
2013,tom_green,Tom Green Co. (San Angelo),5265069
2013,TX,Texas,1511806546
2013,upton,Upton Co. (Rankin),1736737
2013,US,United States,17812167000
2013,ward,Ward Co. (Monahans),1952275
2013,winkler,Winkler Co. (Kermit),609179
2014,andrews,Andrews Co. (Andrews),2716971
2014,borden,Borden Co. (Gail),210840
2014,coke,Coke Co. (Robert Lee),116352
2014,concho,Concho Co. (Paint Rock),105790
2014,crane,Crane Co. (Crane),787716
2014,crockett,Crockett Co. (Ozona),874398
2014,dawson,Dawson Co. (Lamesa),584605
2014,ector,Ector Co. (Odessa),12685557
2014,gaines,Gaines Co. (Seminole),1825301
2014,glasscock,Glasscock Co. (Garden City),1344663
2014,howard,Howard Co. (Big Spring),2098023
2014,irion,Irion Co. (Mertzon),1081583
2014,kimble,Kimble Co. (Junction),167462
2014,loving,Loving Co. (Mentone),657179
2014,martin,Martin Co. (Stanton),1764378
2014,mason,Mason Co. (Mason),106094
2014,mcculloch,McCulloch Co. (Brady),382143
2014,menard,Menard Co. (Menard),57710
2014,midland,Midland Co. (Midland),16127457
2014,pecos,Pecos Co. (Fort Stockton),1388561
2014,reagan,Reagan Co. (Big Lake),1421829
2014,reeves,Reeves Co. (Pecos),1617077
2014,schleicher,Schleicher Co. (Eldorado),201233
2014,sterling,Sterling Co. (Sterling City),291879
2014,sutton,Sutton Co. (Sonora),483975
2014,terrell,Terrell Co. (Sanderson),114428
2014,tom_green,Tom Green Co. (San Angelo),5334314
2014,TX,Texas,1559636095
2014,upton,Upton Co. (Rankin),1962982
2014,US,United States,18261714000
2014,ward,Ward Co. (Monahans),1857428
2014,winkler,Winkler Co. (Kermit),629246
2015,andrews,Andrews Co. (Andrews),2862564
2015,borden,Borden Co. (Gail),226042
2015,coke,Coke Co. (Robert Lee),115793
2015,concho,Concho Co. (Paint Rock),100019
2015,crane,Crane Co. (Crane),800164
2015,crockett,Crockett Co. (Ozona),942436
2015,dawson,Dawson Co. (Lamesa),580970
2015,ector,Ector Co. (Odessa),11318562
2015,gaines,Gaines Co. (Seminole),1987055
2015,glasscock,Glasscock Co. (Garden City),1674191
2015,howard,Howard Co. (Big Spring),2390845
2015,irion,Irion Co. (Mertzon),1187060
2015,kimble,Kimble Co. (Junction),159760
2015,loving,Loving Co. (Mentone),1088173
2015,martin,Martin Co. (Stanton),2388793
2015,mason,Mason Co. (Mason),119444
2015,mcculloch,McCulloch Co. (Brady),359766
2015,menard,Menard Co. (Menard),59919
2015,midland,Midland Co. (Midland),17085219
2015,pecos,Pecos Co. (Fort Stockton),1490752
2015,reagan,Reagan Co. (Big Lake),1987536
2015,reeves,Reeves Co. (Pecos),2551530
2015,schleicher,Schleicher Co. (Eldorado),189697
2015,sterling,Sterling Co. (Sterling City),252420
2015,sutton,Sutton Co. (Sonora),425508
2015,terrell,Terrell Co. (Sanderson),124651
2015,tom_green,Tom Green Co. (San Angelo),5431521
2015,TX,Texas,1634127089
2015,upton,Upton Co. (Rankin),2560482
2015,US,United States,18799622000
2015,ward,Ward Co. (Monahans),1882258
2015,winkler,Winkler Co. (Kermit),660673
2016,andrews,Andrews Co. (Andrews),2872740
2016,borden,Borden Co. (Gail),264401
2016,coke,Coke Co. (Robert Lee),107370
2016,concho,Concho Co. (Paint Rock),91996
2016,crane,Crane Co. (Crane),729032
2016,crockett,Crockett Co. (Ozona),905043
2016,dawson,Dawson Co. (Lamesa),575406
2016,ector,Ector Co. (Odessa),9693922
2016,gaines,Gaines Co. (Seminole),1964610
2016,glasscock,Glasscock Co. (Garden City),1815530
2016,howard,Howard Co. (Big Spring),2813674
2016,irion,Irion Co. (Mertzon),1029543
2016,kimble,Kimble Co. (Junction),146162
2016,loving,Loving Co. (Mentone),1930671
2016,martin,Martin Co. (Stanton),2989710
2016,mason,Mason Co. (Mason),108473
2016,mcculloch,McCulloch Co. (Brady),326232
2016,menard,Menard Co. (Menard),50283
2016,midland,Midland Co. (Midland),16237777
2016,pecos,Pecos Co. (Fort Stockton),1553178
2016,reagan,Reagan Co. (Big Lake),2349368
2016,reeves,Reeves Co. (Pecos),3135165
2016,schleicher,Schleicher Co. (Eldorado),171497
2016,sterling,Sterling Co. (Sterling City),250635
2016,sutton,Sutton Co. (Sonora),342628
2016,terrell,Terrell Co. (Sanderson),117584
2016,tom_green,Tom Green Co. (San Angelo),5101087
2016,TX,Texas,1633863306
2016,upton,Upton Co. (Rankin),3007413
2016,US,United States,19141672000
2016,ward,Ward Co. (Monahans),1800666
2016,winkler,Winkler Co. (Kermit),645290
2017,andrews,Andrews Co. (Andrews),2663256
2017,borden,Borden Co. (Gail),238571
2017,coke,Coke Co. (Robert Lee),90796
2017,concho,Concho Co. (Paint Rock),77629
2017,crane,Crane Co. (Crane),550870
2017,crockett,Crockett Co. (Ozona),768622
2017,dawson,Dawson Co. (Lamesa),618706
